userName;score;at;content;Kategori
Rasya Alfianovansah;2;25/11/2022 09.26;Harga memang murah, namun kenapa saya selalu dipertemukan dengan Driver yang lokasinya jauh sekali. Bahkan waktu itu saya dipertemukan dengan Driver dengan jarak 2 km, apakah memang driver Maxim jarang atau aplikasinya rusak? Saya sering mengcancel driver namun saat mencari ulang diketemukan dengan orang yang sama sehingga membuat saya jengkel. Kadang tidak bisa login aplikasi, kondisi internet harus benar benar kuat. Lokasi pada map juga kurang akurat, map-nya memilih patokan.;Negatif
Sarah Dewi Rahayu (Salvia Demetria Rosaline);2;25/11/2022 04.49;Awalnya tarif segini. Udah sampai tujuan tarifnya naik dong. Kecewa saya. Drivernya juga sering ngalamin bawa motornya ugal2an. Terus malah minta rute jalan yang dia mau. Bukan yang penumpang minta. Padahal saya udah nolak rute yang dipilih. Tapi drivernya ga mau denger. Heran, kalau bisa untuk tarif bisa ditentukan dari awal pesen. Bukannya sampai tujuan tarifnya malah naik. Padahal rutenya sama. SDM drivernya kalau bisa jangan egois. Maunya jalan rute sendiri, ugal2an lagi bawa motornya.;Negatif
Dhiya;2;25/11/2022 01.05;Pengalaman pertama saya menggunakan Maxim sangat tidak nyaman, karena driver ngebut bahkan hampir menabrak pengguna jalan lain, lalu saya memesan untuk kedua kali karena saya tidak bisa conclude dari pengalaman pertama, namun tetap saja mengecewakan, malah saya mengalami kecelakaan beruntun. Maps yang tidak akurat dan driver yang tidak berpengalaman. Semoga segera diperbaiki!;Negatif
Christien Efruan;5;25/11/2022 00.58;Ternyata maxim lebih nyaman dan harganya terjangkau jadinya saya suka sekali menggunakan maxim kebanding yang lain. Rekomended bangett buat yang mau bepergian jauh dengan nyaman. Pengemudinya ramah dan aman dalam pelayanan. Cuma kalau pesan car dari tempat saya ke tempat yang dituju harganya beda kalau pesannya dari tempat yang dituju untuk balim ke tempat saya, padahal jaraknya sama. Tapi sudahlah yang penting harganya membuat pelanggan tidak ragu- ragu untuk memesan kendaraan. Totalitas oke;Positif
MMC GO;5;24/11/2022 16.19;Awalnya bingung...setelah digunakan order berkali kali..ternyata mudah dan sangat membantu..good job maxim👍👍;Positif
Sofi Sundari;4;24/11/2022 12.39;bagus sih, tarif jg lebih murah dr ojol lain.. tp pembayaran masih dg chas sja ya, blum bsa dg debet.. jdi tambahkan metode pembayaranya yaa yg lain, krn skrng kan orng jarang yg simpan chas untuk pembayan..;Positif
Untung Kita;2;24/11/2022 09.12;Aplikasi paling ribet,mau bayar pakai uang cash selalu gak ada kembalian,mau isi saldo pun ribet.kenapa gak kerja sama ovo,gopay atau dana aja biar mudah top up saldonya.;Negatif
Doni Renaldi;1;24/11/2022 07.42;Harga emang murah, tapi pelayanan nya juga murahan banget. Berkali-kali salah titik lokasi, susah cari alamat. GPS nya kacau parah. Semoga bisa diperbaiki;Negatif
Thufiel16 Kocheng;4;24/11/2022 07.10;Masih banyak bug... Waktu ane pesan maxim car, supir nya datang, ane berangkat dgn supir maxim dgn normal... Entah gr2 perjalanan jauh tiba2 orderan ane tergantikan supir lain seolah2 order baru... Padahal ane lagi diperjalanan dgn supir maxim yg pertama dan history perjalanan nya hilang Note: supir kedua yg datang kerumah ane gedor2 pintu ga ada siapa2 :) toh ane lg diperjalanan ama supir pertama;Positif
Edi Turnip;1;24/11/2022 05.41;Sudah lumayan lama memakai Apk ini, tapi semakin lama, layanan makin buruk, saya menunggu lama, bukan dapat kompensasi, malah saya dirugikan dengan harga yg tidak sama saat order dan saat tiba ditujuan (Lebih mahal).;Negatif
Sarosuk 22;2;24/11/2022 01.49;Alamat yang di cari susah tidak selengkap aplikasi sebelah, peta tidak sesuai dengan google map, nyari alamat lebih dari 30 menit tetep eggk ketemu. Di perbaikan lagi;Negatif
Eyang Sayang Zavier;2;23/11/2022 11.21;Kenapa saya tidak bisa login, sangat mengecewakan kalau begini. Lama lama pengguna akan pindah ke aplikator lain jika kinerja sistem seperti ini. Mau login saja tidak bisa;Negatif
UDA Sapan Official;3;23/11/2022 08.36;Map gak aqurat, tdk ada foto dan nm cs yg tampil saat arderan msk k driver, sehingga driver kesulitan, banyak d gunakan utk buat orderan fiktf aplikais ini ,krn verifikasiny sngt lah spele, kasian driverny, sangat buruk sekali , klau bs, lbh d perketat lagi jd gak bs buat main2,,sprt. Buat akun order pakai foto ktp, dta nm ibu kandung, jd seandai main2 bs d lacak oleh pihak berwajib;Negatif
Vera Angelica;1;23/11/2022 07.36;Maxim tolong ya para driver nya tuh kalau gak tau jalan gak usah di ambil. Ke dua : kejujuran pernah kirim paket udah bayar ongkir nya eh dia minta lagi ongkir ke penerima. Sumpah nyesel banget udah pakai Maxim.!!!!!! Tolong di perbaiki dong.untuk maps nya juga tujuannya kemana eh kok kemana. Sumpah kesellllllllllllll buangettt rasanya pengen maki2 bener dah!!!;Negatif
Mute;5;23/11/2022 05.57;Tarif yg di patok cukup bersaing dari yang lain. Ini nilai plusnya. Cuman berharap next pembaruan kalau bisa di fitur chat ada tambahan bisa kirim gambar;Positif
Muhammad Arviantara Nagradaputra;5;23/11/2022 00.43;pelayanan yang baik, aplikasi mudah digunakan, tarif lebih murah dari sebelah, respon driver cepat, mantep lah pokoknya;Positif
jaelani abdillah;5;22/11/2022 22.54;Jika suatu sistem tidak berjalan dengan baik. Maka jangan harap suatu rencana akan berjalan seperti yang di harapkan. Mohon dengan sangat untuk sistemnya di perbaiki (lagi) . Terimakasih;Positif
Mufidz Rizqian;5;22/11/2022 13.37;Sudah oke harganya, tapi tolong kalo misal ada biaya tambahan diinfo k penumpang sebelum jadi brangkat. misalkan ada biaya lain2 di bandara. terimakasih;Positif
Rafli 12;3;22/11/2022 07.01;Orangnya ada yang ramah,ada yang enggak, titik tujuannya selalu salah.. Harusnya ke rumah,inimah malah ke Alfamart...apa lagi waktu itu malah ke kuburan,🥱🤦;Negatif
Drone Chanel - Anugerah Lens Indonesia Production;3;22/11/2022 04.24;Beberapa kali menemukan driver dengan kendaraan yang boleh dibilang kurang memadai..seperti AC yang mati (kata driver)..kebayang jalan jauh dengan kondisi matahari terik. Mohon diperbaiki pelayanan nya. Minimal ajari driver nya untuk konfirmasi dahulu ke penumpang apabila mobilnya ada kerusakan komponen dll. Jangan sampai sudah di depan rumah..jalan..baru ngomong AC nya mati.;Negatif
Cak Imron Gresik;5;22/11/2022 04.05;Maxim tarifnya jauh lebih bersahabat. tapi sayangnya sepertinya masih belum banyak drivernya sehingga terkadang agak lama pelayanannya;Positif
Ahmad Selamet;5;21/11/2022 21.06;alhamdulilah driver nya baik, ramah, dan enak diajak ngobrol saat perjalanan, rapih, bersih dan nyaman saat jadi penumpang, driver ini layak dapet bintang lebih dari 5, sukses buat driver nya, sukses buat maxim, i love you maxim;Positif
Muh. Rezky Anugerah A;2;21/11/2022 12.05;"Terjadi error ketika hendak memesan, tertulis pesan ""Terjadi kesalahan saat menghitung biaya pengiriman, harap tutup aplikasi dan buka kembali untuk melanjutkan"". Tapi berapa kali saya lakukan itu, tetap pesan diatas muncul.";Negatif
Aynal Rahmah;2;21/11/2022 11.34;Maxim gps nya ngaco bnget bikin kesel udh nunggu lama di tambah gps nya ngaco padahal maxim sendiri yang menentukan titik sangking susah nya nyari alamat d maxim, udah salah kita bayar untuk biaya tunggu Soal harga oke tapi performa jelek bnget Tolong di perbaiki;Negatif
Melania Indah permatasari;1;21/11/2022 10.03;Tadi order dapet driver nyebelin,harga aslinya 23.300 trus dapet diskon dari maxim jadi kena 21.000.harusnya aku bayar 21.000 rb tapi dia kekeh ngak mau di potong dengan alasan dapet nya dari maxim harga segitu,ok lah gpp aku bayar segitu trus dia ngak ada 500 jadi aku bayar 24.000 Aku ngak masalahin uangnya barangkali aja dia lagi butuh uang,tapi sikap nya itu Lo,kan nyebelin dan ngak konsisten,ngak sesuai sama aplikasi,jadi males aku naik Maxim lagi;Negatif
Omah Palgading Resto & Homestay Yogyakarta;5;21/11/2022 08.50;pelayanan mantab, sayangnya msh pusing cara top up nya. Di aplikasi sy tdk ada menu isi ulang saldo;Positif
Mata Mata;1;21/11/2022 01.38;Kacau maxim...ini harus sesuai dengan jam ketika kita pesan...apabila di perjalanan macet atau ada tambahan waktu selama di perjalanan..harga otomatis berubah, malah bisa 2x lipat. Hadehh kapok dah..;Negatif
yossie reiza;3;21/11/2022 00.09;sya sudah beli atribut maxim,lwat link maxim di shoope uda 2 bulan.sudah melapor juga ke kantor tuk merubah status bekerja menjadi prioritas..tp blum juga dirubah....bgm yaaa, sampau kpn sya nunggu statusnya berubah.. mohon infonya;Negatif
Spk Ht;5;20/11/2022 23.31;perlu perbaikan agar driver selalu terpantau, dalam melayani panggilan dan mengantarkan customer. masih banyak di dalam mobil yang kebersihan sangat kurang dan menolak tugas pekerjaan. terimakasih;Positif
Putra Laky;3;20/11/2022 23.04;Aplikasi sudah bagus, tapi mohon di perbarui lagi maps nya, agar lebih muda lagi mencari alamat yg ingin ditujuh. Dan tolong di fitur Foods&Goods di perbarui lagi seperti di aplikasi hijau, misalnya ada fitur paling dekat, biar kami para pengguna bisa lebih nyaman menggunakan aplikasi maxim. Dan juga kenapa pada saat pesan makan, di aplikasi tertulis buka, tapi pada saat driver ambil orderan dan sampai ke rumah makan, malahan rumah makannya tutup.;Negatif
karuna ID;2;20/11/2022 12.12;untuk harga nya emang murah.. tapi beberapa kualitas driverny kurang baik.. menolak penumpang dengan kata2 yang kurang baik.. mungkin jika tidak setuju dengan harga yang murah.. driver bisa memilih aplikasi lain.. jangan penumpang yang disalahkan.;Negatif
umi yasifun;3;20/11/2022 05.32;Bagus si murah. Tapi masa g ada nama jalannya. Tolong di perbaruhi yaa. Susah sekalii, berkali2 pindah ke aps lain gara2 gak nemu padahal niat awal pake maxim.;Negatif
FIP_PGPAUD_Shine Pitaloka Panggalo;4;20/11/2022 05.06;Aplikasinya bagus dan murah. Kelemahanya yaitu hanya bisa membayar tunai. Mohon metode pembayarannya dilengkapi lagi;Positif
Magdalena Banjarnahor;1;20/11/2022 04.00;Tolong lah buat MAXIM kenapa susah bangett carik Driver nya udh berulang2 kali d pesan pun tetap gak bisa bermasalah terus jdi emosi jga Dlu gk sprti ini tp knpa skrg udh susah bgt Lebih bagus di uninstall aja dehh dr pda bikin emosi + bantingin hp gra² ga bsa² pesan nya 🤬🤬😡😡👹👹👺;Negatif
Saskia Yustika;4;20/11/2022 02.40;Lain nya udh bagus cmn ada bug yang merugikan. Kayak pas mesen dan lama gak ada yg Nerima. Trs aku batalin, cari dilapak lain. Nah pas orderan dilapak lain udh ada. Nah yg lapak ini malah tiba-tiba kek mesen sendiri gitu, padahal kan dah dibatalin plus aku blm dpt tukang anter nya. Tolong segera diperbaiki bug nya ya. Secepatnya. Thanks;Positif
Paulina Stefania Suryani Fono Tangi;1;20/11/2022 01.37;App nya dah lumayan lah, murah juga tapi pembatalannya agak ngeco. Masa dah dibatalkan, tapi statusnya tetap order. Saya sampe di maki2 sama drivernya. Titiknya juga kadang ngga muncul, kan jadi susah. Coba diperhatikan lagi ya fitur2nya, jangan ngaco mulu. Ditingkatkan lagi.;Negatif
Amirah Ntan Nur'Aini;5;19/11/2022 19.07;menurut Saya maxim tuh the bestlah 👌 pkok nye dan juga selalu mementingkan keselamatan, jempol buat pengemudi nye karna lebih utamakan keselamatan para penumpang e yg berade d dlam..;Positif
coc 01;5;19/11/2022 15.16;Aplikasi ojol terburuk, driver adalah sumber pendapatan mereka tapi sering melukai hati driver dengan sistem aplikasi yang kadang tidak wajar, pelanggan yg tiba2 ganti rute dan lansung tercancel sndri padahal sdh tiba di lokasi, driver di ksh pelanggaran krna cancel orderan yg penjemputannya 4km, driver di ksh pelanggaran krna cuman salah jalan, orderan spam (penipu) terutin muncul tiap hari..pokoknya buruk.;Positif
millah hanifah;2;19/11/2022 12.15;Parah maps nya kacau, bikin salah paham pengemudi dan penumpang, padahal udh banyak komplen tapi ga kayanya ga ada perbaikan yang signifikan, gimana mau maju aplikasinya, tolong di perhatikan lagi saran2 yang ada dan secepetnya di perbaiki;Negatif
Rizky Pratama;5;19/11/2022 08.33;sangat membantu tapi kurang dalam segi peta harus di tingkatkan lagi supaya tidak susah lagi dalam mencari peta tidak lagi mentandai di peta;Positif
Fatma Skincare shop;2;19/11/2022 08.27;semakin lama apk maxim makin aneh,, jika de cek lokasi di bagian pembagian sherlok lewat watshap gak kebaca.. kenapa ya.. tolong dong di bagusin, udah apknya lelet, mana drivernya memilih ongkos kirim, di tambah lokasih gak kebaca, padahal udah di update loh..;Negatif
Dsf Srakagiri;3;19/11/2022 06.32;driver uring2an ke saya gara2 ongkir terlalu murah,pdhl selisih cuma sedikit sama apk hijau. kan kita order emg nyari yg lebih murah sebenernya,malah saya yg ngga enak sama drivernya 😂;Negatif
Tri Suliani;3;19/11/2022 06.05;Mapsnya ANEH. Yang terlihat malah nama2 warung, nama taman, dll yg kurang dikenal orang umum untuk patokan nyari lokasi tujuan. Coba diperbarui lagi disamakan dgn yg ada di google maps, ada nama jalan, nama gedung2 yg banyak dikenal orang agar memudahkan!;Negatif
May Day;3;19/11/2022 04.18;maap ya ini buat Maxim...saya udh kejadian 2x dimana driver dateng buat pick up, tapi setelah pick up driver membatalkan pesanan, udh gt yg pertama gk ngasih tau, yg kedua ngasih tauny telat. apk kn langsung otomatis nyari driver lain, giliran sama saya d cancel c driver k 2ny...yg kena sentil driver malah saya. gk semua driver kek gt...tp klo saya harus berkali2 menghadapi driver kyk gt saya gk mau. ribet amat perkara mesen ojol aja kudu sentil2an;Negatif
Annas Ferdhiyanto;1;18/11/2022 21.43;Sumpah, nunggu lumayan lama buat orfer food, giliran mau di cancel karena lama tapi gabisa. Ubah buat menu makanan jg gabisa, stuck di order sedangkan ga ada driver. Aneh.;Negatif
rizky syaeful;1;18/11/2022 13.59;untuk order makanan tidak update harganya. saya pesan kfc di aplikasi harga 27rb. tapi di tempatnya harga 44rb jadi harus nambah;Negatif
Nuril Hilma;2;18/11/2022 12.36;Bagus sih, tapi minusnya ku pernah naik maxim, harga awal 10.200, lalu pakai diskon jadi 8.200, eh malah sering ditolak driver dan disuruh bayar ke harga awal. Kecewa, buat apa diadakan diskon;Negatif
Delvyra Putri;5;18/11/2022 11.56;layanannya lumayan ok , harga juga relatif murah dibanding apk serupa,hanya saja titik map blm lngkap dan kadang error sistemnya, tolong perbaiki sistem keakuratan maps dan sistemnya, trims;Positif
Rusnaini Bkl;4;18/11/2022 11.54;Saya mau komplain. Kejadian nya tgl 18 nov 2022 pkl.18.33 Saya pesan driver utk delivery makanan trs ordernya diterima, mas nya udh acc tpi tiba2 drivernya ganti lgi n driver yg bru ini bilang gak pernah terima order saya. Jadi saya mnta tlg dong penjelasan nya knp bsa tiba2 ganti driver sndri gni. Kan saya makin lama nunggu orderan sayanya.;Positif
Devi Winarni;3;18/11/2022 10.29;Maxim tolong banget nih ya maps sm gps nya diperbarui lg, banyak daerah yg belum masuk maps. Jd susah untuk jarak jauh. Pdhl akan sangat bagus jika maps nya sudah lengkap, biayanya juga sudah murah;Negatif
Azie Aly;4;18/11/2022 09.37;Maxim tuh ongkosnya murah, tapi kenapa log in nya gagal terus ya aku, baru pertama kali instal trus mau log in gabisa2 jadinya gabisa pesan deh, aku unisntal lagi, why maxim;Positif
mourin manullang;1;18/11/2022 06.43;jujur maxim ini ojek dngn harga yg murah tp saya agak kecewe dngn: 1.) mapnya terlalu sulit dan sedikit sehingga susah menentukan titik jemput dan tujuan 2.) pemesanan makanan tidak praktis tdk sesuai dan tdk ada di aplikasi.Tolong juga kalo pemesanan makanan jangan di browser 3.) dlm pembatalan driver tolong lbih permudahkan krna sy sudah di batalkan tapi tetap saja tidak bisa dibatalin 4.) sy kecewa dngn sikap drivernya krna trkdng saya mndptkan drivernya yng gajelas,marah²,dan baperan;Negatif
Siti Khodijah;5;18/11/2022 05.31;terimakasih maxim, sudah memberikan harga termurah untuk kami dan tolong pencarian mapsnya dipermudah dan jenis motor yg akan kita naiki. Terima kasih;Positif
Opik Opik;1;18/11/2022 04.52;Titiknya tolong d perbaiki.... Membuat cs sulit menentukan titik dan mis komunikasi terus sama driver... Membuat cs dan driver ribut terus;Negatif
febi anti;1;18/11/2022 04.27;tlg perbaiki, gps ngaco..pembayaran pakai saldo, bonus ngaco tetep aja balik lg ke tunai!! niat ga sih bikin apps jasa 😢;Negatif
Muti'ah Farhah;3;18/11/2022 03.59;Harga oke. Tapi tolong dong GPS nya diperbaiki, abang drivernya suka gak bisa ke detect, jd gak tau ud sampe mananya...;Negatif
Wilujeng Anggreini;2;18/11/2022 01.03;"Saya kasih bintang 2 Krna memang maps nya blm di perbarui ke maps yg terbaru . Dan satu lagi .. banyak Driver yg tidak sopan . Ada yg tidak pakai helm . Bhkn tidak bawa helm lebih untuk penumpang nya. Dan penampilannya tidak mnunjukn kalau driver Maxim .. tidak pakai baju yg sopan . Msk pakai kaos & celana pndk sandal jepit. Msh bnyk lagi. Uangnya slalu minta lebih dan tnpa ijin ke nge save nmr sya . Me miscall"" sya . Dan itu sngt mnganggu .! Tolong pihak Maxim rsponnya .! Saya kecewa dgn maxim";Negatif
Rizki Ernawati;5;18/11/2022 00.11;harga jauh lebih terjangkau dibanding ojol yang lain. saran : mungkin bisa diupdate agar bisa menampilkan foto driver supaya penumpang merasa lebih aman karena mengetahui foto driver. thanks maxim;Positif
abang willy;1;17/11/2022 23.46;Aku kasih bintang satu soalnya sekarang sekarang kalo pesen Maxim drivernya suka main cancel sendiri dengan alasan motornya di ke pasar lah kalo kalo.di pake harusny jangan di aktifkn tolong perbaiki lagi kasih tau semua drivernya jangan begitu;Negatif
Abu Azzam;4;17/11/2022 14.48;Mohon di perbaiki navigatornya akan lebih mudah mencari lokasi jika map nya mudah seperti google maps, di maxim agak susah mencari titik jemput maupun lokasi tujuan, sering kali harus mencari titik penanda. Ayo dong dibenahi lagi supaya customer bertambah lebih banyak lagi.;Positif
Sari Bmj;2;17/11/2022 09.14;Tlg donk buat sistem pembayarannya pake ewalet.. Ribet banget harus pakai uang cash dan cari uang pas itu susah loh.. Maps nya jg ditingkatin lg.;Negatif
24. Nurhasanah;4;17/11/2022 08.52;Overall udah bagus, cma fitur titik lokasinya kadang gak lengkap. Dan ntah ini bug atau apa, sy udah pake fitur pembayaran dari akun tapi pembayaran tunainya seperti harga awal. Tolong diperbaiki!;Positif
aisyah mayuzar;1;17/11/2022 08.36;kecewa saya pakai aplikasi.maxim,,,,suka putus sendiri waktu mau cek perjalanan di aplikasi, penentuan lokasi tidak pernah akurat.... tolong perbaikin aplikasinya;Negatif
Yeni Nurchaeni;5;17/11/2022 06.35;Baru pertama order... Abang ojolnya ramah... harga tarifnya Aku suka ramah di kantong... aplikasinya simple.. ada bonus poinnya juga... bisa jadi langganan nih..,;Positif
Sri Wahyuni;1;17/11/2022 06.35;Sekarang driver maxim banyak yg minta penambahan tarif, sampe 2 kali lipat dengan berbagai alasan. Gak sesuai dengan tarif apk, kalo emng ada perubahan gppa, asalkan penaikan nya dari apk langsung bukan dari driver maxim nya.;Negatif
Amc 91;4;17/11/2022 06.30;"Masih butuh update... 1. Untuk BIKE -Pelanggan tidak bisa memesan kalau tidak ada titik tujuanya. 2. Pelanggan sudah pencet memesan ada konfirmasi dulu ( apakah benar anda memesan bike/car) klik benar/salah. Kasian kita driver"" maxim tiap hari dpat pembatalan, akibatnya performa rating menurun.";Positif
Vernadita Milanez;3;17/11/2022 06.03;dari tarif harga dan pelayanan nya menurut saya si oke, tapi buat mesennya tuh nyari alamat nya susah banget biar sesuai titik jadi driver suka muter muter karena ga sesuai titik pesanannya, dan satu lagi privasi nomor hp nya kayaknya kurang deh soalnya beberapa kali setiap habis naik maxim ada driver yang chat ke wa.;Negatif
Liana Naa;1;17/11/2022 03.43;APLIKASI OJEK PALING TIDAK SEMPURNA, TERLALU SERING ERROR PADAHAL JARINGAN BAGUS LANCAR JAYA, sudah dapat driver satu, driver nya berubah lagi sampai berulang kali, masuk ke aplikasi lagi tulisannya error jaringan, padahal saya pakai gojek bagus saja jaringannya!;Negatif
Echa Desvica;1;17/11/2022 03.34;Jelek app nya, lg nyoba2 cari tau cara pesen yg food karena belum pernah pesen food dr sini, tau2 kepesen, mau dicancel ga bisa. Trs drivernya sampe di resto ternyata restonya tutup, mau cancel2 ga bisa. Akhirnya saya tetep bayar gantiin saldonya Pak Driver, tp saya ga dpt makanannya. BETE BGT! KAPOK pake app ini!;Negatif
bymxssz 15;5;17/11/2022 03.19;Bagus, dan murah, tp untuk mencari lokasi agak susah ya. Dan kalau boleh saran bisa ditambah metode pembayaran nya, jd tidak hanya cash saja . Terimakasih;Positif
Asoii Gaming;1;17/11/2022 02.41;Fitur pemilihan jemput dan tujuan sangat susah di atur banyak bug.. Sering terjadi double order padahal order hanya satu.. sangat kecewa;Negatif
thefirst_ padang;4;17/11/2022 01.41;Saya udah lama pakai app maxim ini. Tapi baru sekali ini saya kecewa. Saya pakai app buat berpergian , tetapi ada driver maxim bike yang lancang chat pribadi k nmor saya by wa yg terdaftar di maxim ini. Bahkan tadi pagi saat saya mau kerja , tiba2 driver maxim ini berhenti di depan rumah saya padahal saya tidak order maxim. Sangat mengganggu privasi saya sebagai pelanggan.;Positif
nuragis awalia;1;16/11/2022 12.38;3 kali order makanan di Maxim 3 kali jg dicancel dgn berbagai macam alasan driver. Blm lg dari apk yg susah bgd buat klik cancel. Giliran minta ganti driver cpet. 😌Duh Maxim Maxim...murah klo ujung²nya ngecewain buat apa. Sya kira bisa sedikit membantu buat saya yg mager masak. Ternyata malah dikecewakan begini. 😅;Negatif
Tajuddin Anjas;5;16/11/2022 12.03;luar biasa pelayanan nya sangat baik sekali, padahal jauh sekali jarak pengantaran nya ,, berkah kerjanya pak..;Positif
Nirvana Ricci;3;16/11/2022 11.36;Maxim tlg perbaiki fitur maxim foodnya, spy cust tau warungnya tutup/tidak.. map nya tlg diperbaiki juga.. meskipun harga murah dari apk lainnya tp jika fiturnya bagus dan mempermudah driver dan cust pasti lebih oke;Negatif
Mochi;2;16/11/2022 09.35;Di harga ok, bila di bandingkan aplikasi transport yg lain. Tapi Gps dan map nya kacaw trus drivenya tidak tau rute kemana tujuan kita itu yang saya alami selama menggunakan aplikasi! haruskah saya terus menyebutkan jalannya yang harus di tempuh setiap saya menggunakan aplikasinya?;Negatif
Try Silviani;1;16/11/2022 08.04;Harga Maxim tidak sesuai aplikasi, kalau alasannya karena BBM naik seharusnya dari aplikasi nya, jadi bisa tau harga berapa yang harus di bayar, jadi setiap pesan maxim malah drivernya menentukan harga sendiri ..;Negatif
Mey Wuaten;5;16/11/2022 08.02;Tarif murah dibanding ojol lain. Cuma mapsnya kadang tidak ketemu. Saran,,, kalau bisa ada promo2 juga yang diberikan dari pihak Maxim;Positif
