userName,score,at,content,Kategori
jaelani abdillah,5.0,22/11/2022 22.54,sistem,Positif
Mufidz Rizqian,5.0,22/11/2022 13.37,oke,Positif
Rafli 12,3.0,22/11/2022 07.01,orang,Negatif
Drone Chanel - Anugerah Lens Indonesia Production,3.0,22/11/2022 04.24,kali,Negatif
Cak Imron Gresik,5.0,22/11/2022 04.05,maxim,Positif
Ahmad Selamet,5.0,21/11/2022 21.06,alhamdulilah,Positif
Muh. Rezky Anugerah A,2.0,21/11/2022 12.05,error,Negatif
Aynal Rahmah,2.0,21/11/2022 11.34,maxim,Negatif
Melania Indah permatasari,1.0,21/11/2022 10.03,order,Negatif
Omah Palgading Resto & Homestay Yogyakarta,5.0,21/11/2022 08.50,layan,Positif
Mata Mata,1.0,21/11/2022 01.38,kacau,Negatif
yossie reiza,3.0,21/11/2022 00.09,sya,Negatif
Spk Ht,5.0,20/11/2022 23.31,baik,Positif
Putra Laky,3.0,20/11/2022 23.04,aplikasi,Negatif
karuna ID,2.0,20/11/2022 12.12,harga,Negatif
umi yasifun,3.0,20/11/2022 05.32,bagus,Negatif
FIP_PGPAUD_Shine Pitaloka Panggalo,4.0,20/11/2022 05.06,aplikasi,Positif
Magdalena Banjarnahor,1.0,20/11/2022 04.00,tolong,Negatif
Saskia Yustika,4.0,20/11/2022 02.40,nya,Positif
Paulina Stefania Suryani Fono Tangi,1.0,20/11/2022 01.37,app,Negatif
Amirah Ntan Nur'Aini,5.0,19/11/2022 19.07,maxim,Positif
coc 01,5.0,19/11/2022 15.16,aplikasi,Positif
millah hanifah,2.0,19/11/2022 12.15,parah,Negatif
Rizky Pratama,5.0,19/11/2022 08.33,bantu,Positif
Fatma Skincare shop,2.0,19/11/2022 08.27,apk,Negatif
Dsf Srakagiri,3.0,19/11/2022 06.32,driver,Negatif
Tri Suliani,3.0,19/11/2022 06.05,mapsnya,Negatif
May Day,3.0,19/11/2022 04.18,maap,Negatif
Annas Ferdhiyanto,1.0,18/11/2022 21.43,sumpah,Negatif
rizky syaeful,1.0,18/11/2022 13.59,order,Negatif
Nuril Hilma,2.0,18/11/2022 12.36,bagus,Negatif
Delvyra Putri,5.0,18/11/2022 11.56,layan,Positif
Rusnaini Bkl,4.0,18/11/2022 11.54,komplain,Positif
Devi Winarni,3.0,18/11/2022 10.29,maxim,Negatif
Azie Aly,4.0,18/11/2022 09.37,maxim,Positif
mourin manullang,1.0,18/11/2022 06.43,jujur,Negatif
Siti Khodijah,5.0,18/11/2022 05.31,terimakasih,Positif
Opik Opik,1.0,18/11/2022 04.52,titik,Negatif
febi anti,1.0,18/11/2022 04.27,tlg,Negatif
Muti'ah Farhah,3.0,18/11/2022 03.59,harga,Negatif
Wilujeng Anggreini,2.0,18/11/2022 01.03,kasih,Negatif
Rizki Ernawati,5.0,18/11/2022 00.11,harga,Positif
abang willy,1.0,17/11/2022 23.46,kasih,Negatif
Abu Azzam,4.0,17/11/2022 14.48,mohon,Positif
Sari Bmj,2.0,17/11/2022 09.14,tlg,Negatif
24. Nurhasanah,4.0,17/11/2022 08.52,overall,Positif
aisyah mayuzar,1.0,17/11/2022 08.36,kecewa,Negatif
Yeni Nurchaeni,5.0,17/11/2022 06.35,order,Positif
Sri Wahyuni,1.0,17/11/2022 06.35,driver,Negatif
Amc 91,4.0,17/11/2022 06.30,butuh,Positif
Vernadita Milanez,3.0,17/11/2022 06.03,tarif,Negatif
Liana Naa,1.0,17/11/2022 03.43,aplikasi,Negatif
Echa Desvica,1.0,17/11/2022 03.34,jelek,Negatif
bymxssz 15,5.0,17/11/2022 03.19,bagus,Positif
Asoii Gaming,1.0,17/11/2022 02.41,fitur,Negatif
thefirst_ padang,4.0,17/11/2022 01.41,udah,Positif
nuragis awalia,1.0,16/11/2022 12.38,3,Negatif
Tajuddin Anjas,5.0,16/11/2022 12.03,layan,Positif
Nirvana Ricci,3.0,16/11/2022 11.36,maxim,Negatif
Mochi,2.0,16/11/2022 09.35,harga,Negatif
Try Silviani,1.0,16/11/2022 08.04,harga,Negatif
Mey Wuaten,5.0,16/11/2022 08.02,tarif,Positif
Ricky Ardian,1.0,16/11/2022 07.55,sayang,Negatif
Faizan matin,4.0,16/11/2022 06.14,bagus,Positif
Zul - uncu,4.0,16/11/2022 04.46,applikasi,Positif
Elly Yanti,5.0,15/11/2022 11.45,makasih,Positif
steven husada,1.0,15/11/2022 10.41,bugnya,Negatif
Siti Nurhaliza Hasni,3.0,15/11/2022 10.34,aplikasi,Negatif
Suci Wulan Sari,2.0,15/11/2022 10.21,aplikasi,Negatif
Dhilla Amakura,1.0,15/11/2022 10.07,map,Negatif
Shiraishi Urara,3.0,15/11/2022 08.01,mohon,Negatif
CTR Channel,3.0,15/11/2022 06.22,maps,Negatif
Widian Widian,3.0,15/11/2022 04.03,harap,Negatif
Abdul Hafidh,5.0,15/11/2022 02.50,ramah,Positif
Aulia Safitri,1.0,15/11/2022 00.58,udh,Negatif
Juli Ansyah,3.0,14/11/2022 23.10,tolong,Negatif
mayaaa nur,1.0,14/11/2022 11.42,driver,Negatif
raymundus rikhy,4.0,14/11/2022 10.29,past,Positif
Wahyuni Yuni,5.0,14/11/2022 09.17,biaya,Positif
Nuridatul Amin,1.0,14/11/2022 07.41,kecewa,Negatif
Wawan harmin,1.0,14/11/2022 05.55,ajung,Negatif
eko suprayitno,4.0,14/11/2022 02.28,sy,Positif
Firman Adriansyah,5.0,14/11/2022 01.37,alam,Positif
Tri Aldino Rachmat,1.0,14/11/2022 00.56,kesan,Negatif
Dani Ardiansyah,1.0,13/11/2022 23.14,aplikasi,Negatif
Jeck Style,1.0,13/11/2022 20.23,tolong,Negatif
hardi nugraha,5.0,13/11/2022 17.53,aplikasi,Positif
Fajar Senjaya,4.0,13/11/2022 14.55,harga,Positif
Diva May Friska,1.0,13/11/2022 14.42,guna,Negatif
Katrin Oktiliani,1.0,13/11/2022 13.10,tolong,Negatif
Eko Kusuma,1.0,13/11/2022 12.48,pake,Negatif
Yanti sun Lawani,5.0,13/11/2022 10.42,layan,Positif
Inisial_Y,5.0,13/11/2022 10.14,maxim,Positif
SYAMSUDIN,1.0,13/11/2022 06.34,prihatin,Negatif
yuyun setiawati,1.0,13/11/2022 06.09,kecewa,Negatif
sakka tunggal,2.0,13/11/2022 02.42,perbahariu,Negatif
obeth lio,2.0,13/11/2022 02.15,tolong,Negatif
Ahmad Jaly,3.0,12/11/2022 16.21,tarif,Negatif
Syintia Monika,1.0,12/11/2022 12.25,ajarin,Negatif
Aurelia Da Silva,1.0,11/11/2022 15.19,aplikasi,Negatif
Yuu Helciyon,1.0,11/11/2022 12.01,kalo,Negatif
firda maulida,1.0,11/11/2022 11.49,errorrr,Negatif
Vanness Cu,1.0,11/11/2022 09.19,halo,Negatif
Nadya Arlajonda,3.0,11/11/2022 08.15,hai,Negatif
Taty Sampara,2.0,11/11/2022 04.17,maaf,Negatif
Yudi,1.0,10/11/2022 23.08,turun,Negatif
GAPURA CHANEL,1.0,10/11/2022 15.19,oknum,Negatif
Ayu Condro Kartiko Marsudiana,1.0,10/11/2022 12.05,kecewa,Negatif
reynaldy duvan,3.0,10/11/2022 06.04,drivernya,Negatif
Rani Masruiyah,1.0,10/11/2022 02.48,order,Negatif
ahmad munaryo,5.0,10/11/2022 00.21,alhamdulillah,Positif
Annisa Luthfi,1.0,09/11/2022 23.14,murah,Negatif
Abah Sunda,4.0,09/11/2022 11.18,map,Positif
Putri Cita Asmara,1.0,09/11/2022 08.46,aplikasi,Negatif
Rastra Cewakotama,5.0,09/11/2022 07.01,aplikasi,Positif
Yerus Seran,4.0,09/11/2022 01.46,transportasi,Positif
drh ita,1.0,08/11/2022 23.35,map,Negatif
Apri Mariana Maupada,5.0,08/11/2022 16.03,bapak,Positif
papa muda,5.0,08/11/2022 12.43,alam,Positif
Rahmat Putra,1.0,08/11/2022 07.53,update,Negatif
Iskandar Fian,1.0,08/11/2022 07.22,maxim,Negatif
Mius Christopher Han,1.0,08/11/2022 06.53,apilkasi,Negatif
Novi Riyanti Rahman,1.0,08/11/2022 06.50,driver,Negatif
dana asmara,1.0,08/11/2022 06.24,aplikasi,Negatif
Githa Anggiany,4.0,08/11/2022 05.07,layan,Positif
Iffah Fajriah,1.0,08/11/2022 04.46,murah,Negatif
Novi Andriani,5.0,07/11/2022 16.36,kirim,Positif
Raysha Avriellya,4.0,07/11/2022 11.30,dtingkatkan,Positif
Chan Adita,1.0,07/11/2022 10.59,susah,Negatif
Nurul Hikmah,3.0,07/11/2022 08.23,order,Negatif
Clarity Studio,3.0,07/11/2022 05.58,applikasi,Negatif
Rosida Rifa,1.0,07/11/2022 04.39,ga,Negatif
Syafaruddin,5.0,07/11/2022 04.02,tes,Positif
harajuku prananda,5.0,07/11/2022 02.52,aplikasi,Positif
Jeaneth Noviantika Menno Bire,1.0,06/11/2022 21.51,apliaksinya,Negatif
Putut Sugiharto,1.0,06/11/2022 16.17,maxim,Negatif
Deny Anugrah,2.0,06/11/2022 15.45,cari,Negatif
sarine sayangku,1.0,06/11/2022 12.58,murah,Negatif
imeldaaa,1.0,06/11/2022 11.59,apl,Negatif
Yayang Rani,3.0,06/11/2022 10.30,kali,Negatif
sony nurpriyanto,1.0,06/11/2022 06.31,aneh,Negatif
Arian Dhafin,4.0,06/11/2022 06.01,tunggu,Positif
Nia Ramadhan,4.0,05/11/2022 13.53,maxim,Positif
Vensy Retor,1.0,05/11/2022 12.54,tolong,Negatif
Puan Raissa Lenka,3.0,05/11/2022 06.04,suka,Negatif
Nur Aisyah,1.0,04/11/2022 16.28,lokasi,Negatif
Lia Puspita Fitriani,4.0,04/11/2022 15.58,murah,Positif
Fathurrahman Adzani,1.0,04/11/2022 10.21,buruk,Negatif
Fahri Syafri,5.0,04/11/2022 06.24,udh,Positif
Enny Mao,1.0,03/11/2022 13.35,tolong,Negatif
Rafif Ahmad Firjatullah,4.0,03/11/2022 12.30,lengkap,Positif
manda S,1.0,03/11/2022 11.27,driver,Negatif
amry febriyanto,1.0,03/11/2022 05.55,aplikasi,Negatif
jay maj,5.0,03/11/2022 05.08,cepat,Positif
Jovanca Annatasya,3.0,02/11/2022 23.59,aplikasi,Negatif
Vivi Rotty,2.0,02/11/2022 08.05,hallo,Negatif
Muhammad Said (m a m a t),1.0,02/11/2022 07.55,versi,Negatif
Liendy Maturbongs,4.0,02/11/2022 07.30,turunin,Positif
Rosy Haryadi,1.0,02/11/2022 06.59,posisi,Negatif
Abah Yayi,1.0,02/11/2022 06.10,gimana,Negatif
Albinus Tejo Sungkowo,3.0,02/11/2022 03.00,tolong,Negatif
Khoirun Nisa,4.0,01/11/2022 16.11,saran,Positif
Rijal Sudrajad,2.0,01/11/2022 12.09,horor,Negatif
CALVIN Adiva,1.0,01/11/2022 06.55,tolong,Negatif
Dhani Rhemius,3.0,01/11/2022 06.07,kurang,Negatif
alvazer izzi ilman,3.0,01/11/2022 06.04,baik,Negatif
Fahms* TV,2.0,31/10/2022 23.58,harga,Negatif
Akun Backup Data,1.0,31/10/2022 09.44,tolong,Negatif
Yulia Army x Bangtan,5.0,31/10/2022 09.35,sesuai,Positif
Kayla Gilang,1.0,31/10/2022 09.26,parahhhh,Negatif
Robbany Difa,1.0,31/10/2022 09.12,kali,Negatif
Ricki Ibr,3.0,31/10/2022 08.00,murah,Negatif
Fadiel Restu Sobari,4.0,31/10/2022 07.32,kritik,Positif
Daffa Nurfajri,3.0,31/10/2022 03.46,maps,Negatif
Edy Ruslan,4.0,31/10/2022 00.05,sistem,Positif
annnd rianii,3.0,30/10/2022 12.04,sebenernya,Negatif
Nur Muzaenah,4.0,30/10/2022 11.10,mohon,Positif
Yaman Zalukhu ZL,1.0,30/10/2022 10.47,maxim,Negatif
DepO Speed,5.0,30/10/2022 08.42,murah,Positif
nurdiyansahh 27,1.0,30/10/2022 07.22,murah,Negatif
Yukkie. P,5.0,30/10/2022 01.46,aplikasi,Positif
Sam,5.0,30/10/2022 01.00,tabah,Positif
DWI SLM,1.0,29/10/2022 23.09,alamat,Negatif
Hanif Hibatulloh,3.0,29/10/2022 09.37,1,Negatif
Dennie Farizi,5.0,29/10/2022 04.13,driver,Positif
Ade Acong,1.0,28/10/2022 15.00,bangga,Negatif
Keyza setiadji,3.0,28/10/2022 06.02,gue,Negatif
Hubdam XVI Pattimura,2.0,28/10/2022 01.06,maaf,Negatif
Elsa Avrelia,1.0,28/10/2022 01.00,titik,Negatif
Pangeran Dewa,4.0,27/10/2022 23.01,bagus,Positif
Winda Frisda Lestari,3.0,27/10/2022 05.19,kemudi,Negatif
Oki Karepesina,3.0,27/10/2022 01.17,maxim,Negatif
Kedai Iyon,5.0,26/10/2022 22.41,alhamdulillah,Positif
Karin Yuniar,3.0,26/10/2022 11.25,mohon,Negatif
Tjipto Wijono,4.0,26/10/2022 09.22,aplikasi,Positif
Aning Lismarini,1.0,26/10/2022 08.05,sdh,Negatif
Herwindo “nuhade” Pratama,4.0,26/10/2022 04.58,kesan,Positif
Arkaniee,4.0,26/10/2022 02.51,harga,Positif
dhea nanda,4.0,26/10/2022 02.12,tolong,Positif
Novie Yanti,2.0,26/10/2022 00.09,maxim,Negatif
Misael Wijaya (Misael),2.0,25/10/2022 19.56,mapsnya,Negatif
ebhy sitanaya,2.0,25/10/2022 14.43,driver,Negatif
Aku Kamu28,1.0,25/10/2022 13.23,min,Negatif
Siti Masitoh,1.0,25/10/2022 11.54,parahhh,Negatif
Denny Badai,5.0,25/10/2022 06.36,guna,Positif
Rumah Gadang (Daf),5.0,24/10/2022 16.17,admind,Positif
Ardhi Saputra,5.0,24/10/2022 15.09,simpel,Positif
Nashar Sukses,1.0,24/10/2022 14.35,transport,Negatif
Haska Rizki,1.0,24/10/2022 13.48,ni,Negatif
Erni Nuraeni,5.0,24/10/2022 01.05,aplikasi,Positif
Kusnul Hayati67,1.0,23/10/2022 13.45,skrang,Negatif
Rival Takada,5.0,23/10/2022 12.21,mantap,Positif
Rey Begic,1.0,23/10/2022 05.13,driver,Negatif
jessi jhu05,3.0,23/10/2022 00.40,guna,Negatif
sean ihsan,5.0,22/10/2022 18.22,bagus,Positif
Fak Rizal,1.0,22/10/2022 15.04,jelek,Negatif
Shinta Wulandari,1.0,22/10/2022 06.42,mohon,Negatif
Muhammad Alvin,3.0,22/10/2022 00.36,good,Negatif
Reza Firmansyah,5.0,21/10/2022 14.22,mohon,Positif
Otto Supar,3.0,21/10/2022 13.54,layan,Negatif
Dwiana Retno Y.,3.0,21/10/2022 10.48,kali,Negatif
Dini Saputra 69,1.0,21/10/2022 10.42,aplikasi,Negatif
Shellviana Aqilah,5.0,21/10/2022 04.24,abang,Positif
Deni Resa Haditia,1.0,21/10/2022 02.05,harga,Negatif
ivodro idrygne,3.0,20/10/2022 22.37,tolong,Negatif
Fadli Jnr,1.0,20/10/2022 22.30,tolong,Negatif
Cimot Toat,5.0,20/10/2022 22.14,order,Positif
ALFITRA,4.0,20/10/2022 20.15,tingkat,Positif
Kartika Handayani,1.0,20/10/2022 17.05,guna,Negatif
Ari Putra,1.0,20/10/2022 12.35,tolong,Negatif
Dunia Pertama,1.0,20/10/2022 07.41,asa,Negatif
Dah Dah,1.0,20/10/2022 00.10,puas,Negatif
Priska Nuranggiani,5.0,19/10/2022 23.48,maps,Positif
pranayoga wiyasa,3.0,19/10/2022 22.19,sulit,Negatif
Procol,3.0,19/10/2022 18.14,tolong,Negatif
Ji Liong,1.0,19/10/2022 03.37,merchant,Negatif
kisro Kisro,5.0,19/10/2022 00.41,mohon,Positif
Yoel Mokalu,1.0,18/10/2022 15.24,aplikasi,Negatif
Bambang Wijaya,5.0,18/10/2022 11.03,terima,Positif
A Rahman,3.0,18/10/2022 10.06,parah,Negatif
Abdurrohman Hadi,4.0,18/10/2022 04.39,suka,Positif
Lonely Drifter,3.0,18/10/2022 03.59,habis,Negatif
xdzra_,1.0,18/10/2022 02.58,maxim,Negatif
Jihan Maghfirah Arfiani Lahay,4.0,17/10/2022 15.14,aplikasi,Positif
Jojor Berutu,5.0,17/10/2022 12.02,senang,Positif
Putri Septiarini Mufidah,1.0,17/10/2022 09.10,kapok,Negatif
anthy randa,5.0,17/10/2022 09.09,maxim,Positif
Sovy Fitria Nuraini,1.0,17/10/2022 08.07,layan,Negatif
Muhammad Rizaldy,5.0,17/10/2022 06.19,mas,Positif
Warzuqni Fahman,3.0,17/10/2022 02.02,layan,Negatif
Cah Bagus,4.0,16/10/2022 09.33,baik,Positif
Khirsan 07,5.0,16/10/2022 08.25,good,Positif
12_26_Mochamad Saiful Anwar,1.0,16/10/2022 07.43,murah,Negatif
Novi Yuliastuti,1.0,16/10/2022 05.33,gak,Negatif
Way 13,1.0,16/10/2022 03.08,aplikasi,Negatif
Iphu Muni,1.0,16/10/2022 03.04,maxim,Negatif
Aliya Yofikha ikhlas,1.0,16/10/2022 02.42,harga,Negatif
I Gede Ivan Darmawan,1.0,16/10/2022 00.06,maaf,Negatif
Dwi Kurnia,1.0,15/10/2022 15.21,kecewa,Negatif
Nada Agustin,2.0,15/10/2022 15.11,maaf,Negatif
Lim Sui Liang,1.0,15/10/2022 14.06,upgrade,Negatif
resa rdp,4.0,15/10/2022 12.52,maxim,Positif
Millenius Sabda,3.0,15/10/2022 04.57,tolong,Negatif
nadia novemi,4.0,15/10/2022 04.03,aplikasi,Positif
babah akim,5.0,15/10/2022 01.12,guna,Positif
Devis surtiyanto,1.0,14/10/2022 22.05,tolong,Negatif
Tyas Irma,2.0,14/10/2022 18.59,kode,Negatif
Wdari Harun,1.0,14/10/2022 14.29,driver,Negatif
Humaira Sehati,2.0,14/10/2022 13.16,upgrade,Negatif
Rinda Ravina,1.0,14/10/2022 09.55,suka,Negatif
Dewi Rizna,2.0,14/10/2022 08.53,parah,Negatif
Mei Anggie,1.0,14/10/2022 03.33,maxim,Negatif
Diana Putri,4.0,13/10/2022 14.57,maxim,Positif
Alsha Manurung,3.0,13/10/2022 13.29,hi,Negatif
Kautsar Jayadratairfan,1.0,13/10/2022 07.55,aneh,Negatif
Anak Sholeh,4.0,13/10/2022 07.40,ribet,Positif
YASNA YASNI,3.0,13/10/2022 04.21,sllu,Negatif
Ika Sulfiyana,4.0,13/10/2022 03.50,bagus,Positif
yekti rahayu,4.0,13/10/2022 00.24,bagusgampang,Positif
Anna Muslimah,5.0,12/10/2022 23.45,butuh,Positif
Sukrowo,2.0,12/10/2022 18.02,mohon,Negatif
Muhamad Sahroni,5.0,12/10/2022 12.20,aplikasi,Positif
Vinda Monica,2.0,12/10/2022 10.46,tolong,Negatif
B. Ermilinda Floridang,1.0,12/10/2022 07.40,aplikasi,Negatif
Hany Diniyati,1.0,12/10/2022 06.58,aplikasi,Negatif
Karmila Hiola,1.0,12/10/2022 05.18,loding,Negatif
Nur Rian Fitriani Herman,4.0,12/10/2022 05.16,harga,Positif
Ayu widya,1.0,12/10/2022 04.34,update,Negatif
Maya Sigma,5.0,12/10/2022 03.47,maxim,Positif
Dunia ikan hias oficial,5.0,11/10/2022 22.04,maxim,Positif
Alfin Asadilah,5.0,11/10/2022 15.11,susah,Positif
IKA RIFKA NUR DESIANA GANI,2.0,11/10/2022 13.19,aplikasi,Negatif
Rara Via,5.0,11/10/2022 11.11,driver,Positif
Ariel Wildan,2.0,11/10/2022 07.47,susah,Negatif
Daniel Wiratama,1.0,11/10/2022 06.54,lokasi,Negatif
februari zendrato,1.0,11/10/2022 06.18,ga,Negatif
Tinsiawati R. Atilu,1.0,11/10/2022 04.41,mohon,Negatif
Heru T Wibowo,5.0,10/10/2022 23.43,tolong,Positif
Leni Marlina,1.0,10/10/2022 11.00,kesal,Negatif
Udzri tsabitul Azmi,5.0,10/10/2022 09.49,layan,Positif
Rohmatun khoirun Nissa,2.0,10/10/2022 04.58,tolong,Negatif
Vina Syam HS,4.0,10/10/2022 03.24,sebenernya,Positif
NinaAfia Finata,2.0,09/10/2022 23.11,tolong,Negatif
Imam D. Rosevelt,1.0,09/10/2022 16.53,history,Negatif
Ulayya Hanifa,1.0,09/10/2022 15.40,first,Negatif
winny world,3.0,09/10/2022 12.44,aplikasi,Negatif
Murni Chen,1.0,09/10/2022 11.54,trf,Negatif
Aska xian Xunan,2.0,09/10/2022 11.22,tolong,Negatif
Sasmita Enggar,1.0,09/10/2022 09.10,aplikasi,Negatif
Blakutex 212,1.0,09/10/2022 09.00,kembang,Negatif
Lalu Arry,1.0,09/10/2022 05.21,aneh,Negatif
wahit chanel,3.0,08/10/2022 17.02,pake,Negatif
Dhelfian Nugraha,1.0,08/10/2022 16.14,jalan,Negatif
Akmal Rifay Ramadan,1.0,08/10/2022 08.58,harga,Negatif
Stefanus Siahaan,3.0,07/10/2022 14.39,temu,Negatif
Sigit Surya,3.0,07/10/2022 12.18,titik,Negatif
Erni Erni,1.0,07/10/2022 12.02,maxim,Negatif
Nur Agung Tamado Group,1.0,07/10/2022 09.23,sen,Negatif
BCH.0511,2.0,07/10/2022 08.58,maaf,Negatif
Anisa Rahmawati,3.0,07/10/2022 07.56,tolong,Negatif
Desy Natalia,3.0,07/10/2022 02.14,titik,Negatif
dindaa,3.0,06/10/2022 10.56,dapet,Negatif
Hj. Eah Ratna Turiah,5.0,06/10/2022 08.18,driver,Positif
Alan Irawan,5.0,06/10/2022 06.37,bantu,Positif
Darleys Dalenoh,3.0,06/10/2022 05.44,1,Negatif
Tika Pangaribuan,1.0,06/10/2022 03.52,tarif,Negatif
firda aviyanti,2.0,06/10/2022 03.07,dear,Negatif
tasya marastya,1.0,05/10/2022 23.50,aplikasi,Negatif
Ruliyah Nur Rifna,4.0,05/10/2022 15.23,tlg,Positif
Fadhil Ade Rezki,2.0,05/10/2022 14.03,aplikasi,Negatif
Muhammad Mahrus,5.0,05/10/2022 13.56,sopir,Positif
Devi Ramadhani,2.0,05/10/2022 13.54,aplikasi,Negatif
Allan Darma,3.0,05/10/2022 12.26,murah,Negatif
Paltirama Ringgo,1.0,05/10/2022 12.12,aplikasi,Negatif
Yovie Lestari,3.0,05/10/2022 09.00,murah,Negatif
Amoy Mayumi,1.0,05/10/2022 06.48,kasih,Negatif
Dewiner Intani,1.0,05/10/2022 03.41,harga,Negatif
loisa heka,4.0,05/10/2022 03.34,download,Positif
Ranirum,3.0,04/10/2022 15.26,maaf,Negatif
Henny Nur Dewi,1.0,04/10/2022 15.10,pesan,Negatif
CeCaPi Kids,4.0,04/10/2022 14.40,tombol,Positif
Sachio Alfonso Fang,1.0,04/10/2022 11.04,dapat,Negatif
Gilang pol,1.0,04/10/2022 10.56,udah,Negatif
LiA,1.0,04/10/2022 06.34,mesen,Negatif
Elsa diah Kuntoro,1.0,04/10/2022 04.58,tolong,Negatif
Lely Maharani,1.0,04/10/2022 04.33,maxim,Negatif
Ivana Dewi,2.0,04/10/2022 00.13,bonus,Negatif
Gaush Mozart,1.0,03/10/2022 22.47,merugikandrivernya,Negatif
Raditya Hikmawan,1.0,03/10/2022 19.20,aplikasi,Negatif
Brenda Fellicia Sundana,1.0,03/10/2022 12.10,harga,Negatif
Danang Sarbini,1.0,03/10/2022 08.40,tolong,Negatif
Rommy Hehanussa,3.0,02/10/2022 13.40,mohon,Negatif
Mochamad Irfan,3.0,02/10/2022 10.43,murah,Negatif
afdalia ahdar,2.0,02/10/2022 02.55,maxim,Negatif
Neneng Vina Badriyah,1.0,01/10/2022 14.44,sen,Negatif
Nur Hasana,1.0,01/10/2022 12.33,niat,Negatif
nanjae hwang,2.0,01/10/2022 12.04,susah,Negatif
BIMA HARD,5.0,01/10/2022 06.02,aplikasi,Positif
Bagus K Pratama,1.0,30/09/2022 08.58,tolong,Negatif
Devinta Cicilia,5.0,30/09/2022 07.47,enak,Positif
Utin Rindy Ferawati,1.0,30/09/2022 04.31,gak,Negatif
Andinia Natasya,1.0,29/09/2022 23.00,kalo,Negatif
Ummu Faruq,3.0,29/09/2022 13.42,aplikasi,Negatif
Meri Riana,1.0,29/09/2022 10.18,mes,Negatif
Dewi Sofrina,5.0,29/09/2022 04.03,transportasi,Positif
18_Linda Fuziwati_XI TB 1,2.0,29/09/2022 01.30,biaya,Negatif
wulan oktaviani,1.0,29/09/2022 00.08,tolong,Negatif
Nabila Humaira,4.0,28/09/2022 19.05,mudah,Positif
Shalomita Dealova Monintja,3.0,28/09/2022 09.16,bagus,Negatif
Nasyeh Heny Maulana,4.0,28/09/2022 08.33,tolong,Positif
Vicky Ferdian,1.0,28/09/2022 06.43,aplikasi,Negatif
INyoman Aditama Wijaya,3.0,27/09/2022 21.58,murah,Negatif
Irvan Trianto,2.0,27/09/2022 16.38,maxim,Negatif
Debie Poetry,3.0,27/09/2022 13.41,aplikasi,Negatif
Siti nuraida Luthfiani,4.0,27/09/2022 09.21,tuh,Positif
ardianti popi,5.0,27/09/2022 07.51,nyaman,Positif
Dian Indie Rahmalia,1.0,27/09/2022 06.07,alamat,Negatif
Hasbi Abi,4.0,26/09/2022 22.26,abis,Positif
Sifa Khairinaaa,1.0,26/09/2022 19.33,sumpah,Negatif
solidaritas tanpa batas alfais,1.0,26/09/2022 06.54,harga,Negatif
Melistamelis@gmail.com 060991,1.0,26/09/2022 06.45,parah,Negatif
Ghania Mahmudah_XI_TB 1,4.0,26/09/2022 06.05,bagus,Positif
lensa ama,3.0,26/09/2022 05.38,segi,Negatif
Nyongkim cong,1.0,26/09/2022 05.21,titik,Negatif
